logN,t
13,1.82642
14,1.82611
15,1.67404
16,2.02461
17,2.2843
18,2.30161
10,2.92188
11,1.98291
12,2.90454
13,2.06946
14,2.10468
15,2.10019
16,2.1185
17,2.27875
18,2.18187
10,1.9834
11,2.64453
12,2.2085
13,2.17798
14,2.31506
15,2.13708
16,2.19791
17,2.3063
18,2.25419
10,1.94824
11,1.96387
12,2.42676
13,2.0741
14,2.01251
15,2.09866
16,2.17668
17,2.10906
18,2.13383
10,1.95312
11,2.43408
12,2.18311
13,2.19104
14,2.07196
15,2.16818
16,2.1725
17,2.10532
18,2.27303
10,1.94824
11,1.46045
12,1.95605
13,1.70471
14,1.70209
15,1.73499
16,2.14783
17,1.84136
18,2.1655
